"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019814","CC","GO:0019814","immunoglobulin complex","11/478","165/19894",0.0666666666666667,2.77461645746165,3.59151883569432,0.00219482308842567,0.0407261617518985,0.0337994198802394,"973/974/3507/3495/3493/3494/3500/3502/28396/28442/28793",11
"GO:0031901","CC","GO:0031901","early endosome membrane","12/478","195/19894",0.0615384615384615,2.56118442227229,3.43742817786277,0.00274920215228615,0.0491910813676914,0.0408246184268056,"382/2043/23325/79689/220972/124460/6653/567/301/83737/157680/100287171",12
"GO:0031720","MF","GO:0031720","haptoglobin binding","7/460","10/18522",0.7,28.185652173913,13.7227546289501,6.26694576528441e-10,4.34926036110738e-07,4.01084528978203e-07,"3039/3040/3048/3047/3045/3043/3042",7
"GO:0005344","MF","GO:0005344","oxygen carrier activity","7/460","14/18522",0.5,20.1326086956522,11.4284326821438,1.64391628645639e-08,5.70438951400366e-06,5.26053211666044e-06,"3039/3040/3048/3047/3045/3043/3042",7
"GO:0034987","MF","GO:0034987","immunoglobulin receptor binding","6/460","16/18522",0.375,15.0994565217391,9.00397535880735,1.47231373800563e-06,0.000340595244725301,0.0003140935974412,"1380/3507/3493/3494/3500/3502",6
"GO:0003823","MF","GO:0003823","antigen binding","16/460","177/18522",0.0903954802259887,3.63979366249079,5.63152439509417,9.14611963626445e-06,0.00158685175689188,0.00146337914180231,"6892/3112/7106/3507/3495/3493/3494/3500/3502/28396/28442/28793/3126/913/57634/567",16
"GO:0019825","MF","GO:0019825","oxygen binding","7/460","34/18522",0.205882352941176,8.28989769820972,6.78959921213453,1.67529643434536e-05,0.00232531145087136,0.00214437943596206,"3039/3040/3048/3047/3045/3043/3042",7
"GO:0016684","MF","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","8/460","59/18522",0.135593220338983,5.45969049373618,5.47529852813728,9.94420421058219e-05,0.0115021295369067,0.0106071511579543,"3039/3040/3048/3047/3045/3043/143686/3042",8
"GO:0140104","MF","GO:0140104","molecular carrier activity","10/460","95/18522",0.105263157894737,4.23844393592677,5.05008956326714,0.000124199567340522,0.012313499962046,0.0113553890139906,"10204/3039/3040/3048/3047/3045/3837/3043/811/3042",10
"GO:0140693","MF","GO:0140693","molecular condensate scaffold activity","6/460","35/18522",0.171428571428571,6.90260869565217,5.57792932946132,0.000199976686176292,0.0173479775257933,0.0159981348941034,"54890/65125/23435/3178/283131/2521",6
"GO:0023023","MF","GO:0023023","MHC protein complex binding","6/460","37/18522",0.162162162162162,6.52949471210341,5.37285096936063,0.000274654484181095,0.0211789124468533,0.0195309855417668,"6892/3112/931/3126/51571/567",6
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","12/460","152/18522",0.0789473684210526,3.17883295194508,4.30446680838465,0.000421136553645232,0.0291278578131178,0.0268614250726158,"1536/3039/3040/3048/3047/6947/3045/3043/1595/79689/3042/54205",12
"GO:0035591","MF","GO:0035591","signaling adaptor activity","10/460","112/18522",0.0892857142857143,3.59510869565217,4.39608299221683,0.000478676141842141,0.0291278578131178,0.0268614250726158,"114609/26228/55024/79368/1654/382/1399/917/29760/143098",10
"GO:0004601","MF","GO:0004601","peroxidase activity","7/460","57/18522",0.12280701754386,4.94485125858124,4.76016073069936,0.000503651720111546,0.0291278578131178,0.0268614250726158,"3039/3040/3048/3047/3045/3043/3042",7
"GO:0045296","MF","GO:0045296","cadherin binding","19/460","333/18522",0.0570570570570571,2.29741480611046,3.81263093915294,0.000706883034540656,0.0377366789208627,0.0348003955466169,"4735/989/7534/1654/3303/1968/1399/27044/23075/5586/29766/93663/867/9685/301/50807/143098/1983/2801",19
"GO:0020037","MF","GO:0020037","heme binding","11/460","142/18522",0.0774647887323944,3.11913655848132,4.04537303443521,0.000847714070218541,0.0420223974808334,0.0387526432099904,"1536/3039/3040/3048/3047/3045/3043/1595/79689/3042/54205",11
"GO:0140297","MF","GO:0140297","DNA-binding transcription factor binding","24/460","478/18522",0.0502092050209205,2.02168455521193,3.6115412535583,0.00092938275053786,0.042999441924885,0.0396536640229487,"7534/23013/3429/6497/4929/1959/1386/1399/8202/2624/5591/7157/811/7994/9967/27086/64710/10915/23468/6670/171023/2958/5187/60",24
"GO:0042800","MF","GO:0042800","histone H3K4 methyltransferase activity","4/460","19/18522",0.210526315789474,8.47688787185355,5.20361080186011,0.0010820644503201,0.0469345455326345,0.0432825780128041,"58508/4297/54904/55870",4
